Datetime,Sea pressure - decibar,Sea temperature adjusted,QC
2023-11-08 19:31:56,462.6,12.787,1
2023-11-08 19:31:56,513.2,12.428,1
2023-11-08 19:31:56,562.8,12.012,1
2023-11-08 19:31:56,638.1,11.507,1
2023-11-08 19:31:56,713.3,10.964,1
2023-11-08 19:31:56,763,10.419,1
2023-11-08 19:31:56,812.3,9.984,1
2023-11-08 19:31:56,862.8,9.313,1
2023-11-08 19:31:56,887.8,9.113,1
2023-11-08 19:31:56,938,8.825,1
2023-11-08 19:31:56,1013.1,8.322,1
2023-11-08 19:31:56,1062.7,8.115,1
2023-11-08 19:31:56,1087.7,8.007,1
2023-11-08 19:31:56,1162.9,7.486,1
2023-11-08 19:31:56,1212.6,7.111,1
2023-11-08 19:31:56,1262.5,6.864,1
2023-11-08 19:31:56,1338,6.478,1
2023-11-08 19:31:56,1363.2,6.223,1
2023-11-08 19:31:56,1438,5.876,1
2023-11-08 19:31:56,1463.1,5.705,1
2023-11-08 19:31:56,1512.8,5.323,1
2023-11-08 19:31:56,1563,4.983,1
2023-11-08 19:31:56,1613.1,4.682,1
2023-11-08 19:31:56,1662.6,4.42,1
2023-11-08 19:31:56,1737.7,4.048,1
2023-11-08 19:31:56,1762.5,3.962,1
2023-11-08 19:31:56,1837.5,3.663,1
2023-11-08 19:31:56,1862.7,3.583,1
2023-11-08 19:31:56,1937.6,3.389,1
2023-11-08 19:31:56,1977.3,3.264,1
2023-11-18 19:31:53,0.4,29.71,1
2023-11-18 19:31:53,2,29.704,1
2023-11-18 19:31:53,2.8,29.702,1
2023-11-18 19:31:53,4.9,29.702,1
2023-11-18 19:31:53,7.7,29.693,1
2023-11-18 19:31:53,10.2,29.689,1
2023-11-18 19:31:53,25,29.564,1
2023-11-18 19:31:53,45.5,27.768,1
2023-11-18 19:31:53,65.2,24.362,1
2023-11-18 19:31:53,85,21.616,1
2023-11-18 19:31:53,95.5,20.72,1
2023-11-18 19:31:53,125,19.532,1
2023-11-18 19:31:53,145.5,18.327,1
2023-11-18 19:31:53,165.5,18.273,1
2023-11-18 19:31:53,185.5,17.554,1
2023-11-18 19:31:53,213.5,17.178,1
2023-11-18 19:31:53,288.3,14.812,1
2023-11-18 19:31:53,312.6,14.125,1
2023-11-18 19:31:53,362.8,13.385,1
2023-11-18 19:31:53,413.2,12.983,1
2023-11-18 19:31:53,462.8,12.677,1
2023-11-18 19:31:53,512.6,12.322,1
2023-11-18 19:31:53,563,11.881,1
2023-11-18 19:31:53,638,11.321,1
2023-11-18 19:31:53,663.2,11.155,1
2023-11-18 19:31:53,738.1,10.352,1
2023-11-18 19:31:53,812.9,9.871,1
2023-11-18 19:31:53,837.8,9.741,1
2023-11-18 19:31:53,887.9,9.406,1
2023-11-18 19:31:53,963.3,8.748,1
2023-11-18 19:31:53,987.8,8.661,1
2023-11-18 19:31:53,1038.3,8.357,1
2023-11-18 19:31:53,1088.2,7.93,1
2023-11-18 19:31:53,1137.8,7.703,1
2023-11-18 19:31:53,1213.2,7.037,1
2023-11-18 19:31:53,1263,6.833,1
2023-11-18 19:31:53,1337.8,6.317,1
2023-11-18 19:31:53,1387.8,6.074,1
2023-11-18 19:31:53,1437.7,5.868,1
2023-11-18 19:31:53,1462.9,5.75,1
2023-11-18 19:31:53,1513,5.499,1
2023-11-18 19:31:53,1587.9,4.94,1
2023-11-18 19:31:53,1637.8,4.59,1
2023-11-18 19:31:53,1662.7,4.412,1
2023-11-18 19:31:53,1737.6,4.071,1
2023-11-18 19:31:53,1762.8,3.987,1
2023-11-18 19:31:53,1837.7,3.68,1
2023-11-18 19:31:53,1887.9,3.494,1
2023-11-18 19:31:53,1962.8,3.305,1
2023-11-18 19:31:53,1988,3.218,1
2023-11-28 19:42:51,0.2,29.227,1
2023-11-28 19:42:51,0.9,29.259,1
2023-11-28 19:42:51,4.1,29.276,1
2023-11-28 19:42:51,5.1,29.289,1
2023-11-28 19:42:51,8.4,29.291,1
2023-11-28 19:42:51,15.4,29.288,1
2023-11-28 19:42:51,35.2,29.331,1
2023-11-28 19:42:51,55.1,27.812,1
2023-11-28 19:42:51,75.3,22.344,1
2023-11-28 19:42:51,85.7,21.556,1
2023-11-28 19:42:51,115.8,20.51,1
2023-11-28 19:42:51,135.6,18.931,1
2023-11-28 19:42:51,155.7,18.659,1
2023-11-28 19:42:51,185.5,16.423,1
2023-11-28 19:42:51,212.2,15.64,1
2023-11-28 19:42:51,237.8,15.461,1
2023-11-28 19:42:51,312.5,13.882,1
2023-11-28 19:42:51,362.9,13.614,1
2023-11-28 19:42:51,387.8,13.316,1
2023-11-28 19:42:51,437.8,12.896,1
2023-11-28 19:42:51,512.9,12.421,1
2023-11-28 19:42:51,588.1,11.815,1
2023-11-28 19:42:51,638.3,11.551,1
2023-11-28 19:42:51,662.8,11.275,1
2023-11-28 19:42:51,737.9,10.619,1
2023-11-28 19:42:51,762.7,10.482,1
2023-11-28 19:42:51,837.7,9.707,1
2023-11-28 19:42:51,862.7,9.544,1
2023-11-28 19:42:51,938,8.771,1
2023-11-28 19:42:51,1013.1,8.247,1
2023-11-28 19:42:51,1063,7.961,1
2023-11-28 19:42:51,1112.9,7.533,1
2023-11-28 19:42:51,1137.8,7.367,1
2023-11-28 19:42:51,1212.7,6.921,1
2023-11-28 19:42:51,1238,6.782,1
2023-11-28 19:42:51,1288,6.527,1
2023-11-28 19:42:51,1337.6,6.329,1
2023-11-28 19:42:51,1412.9,5.941,1
2023-11-28 19:42:51,1438.1,5.782,1
2023-11-28 19:42:51,1487.8,5.355,1
2023-11-28 19:42:51,1588,4.825,1
2023-11-28 19:42:51,1637.9,4.556,1
2023-11-28 19:42:51,1687.9,4.353,1
2023-11-28 19:42:51,1713.1,4.225,1
2023-11-28 19:42:51,1787.9,3.908,1
2023-11-28 19:42:51,1812.8,3.818,1
2023-11-28 19:42:51,1862.7,3.686,1
2023-11-28 19:42:51,1912.8,3.492,1
2023-11-28 19:42:51,1962.8,3.325,1
2023-11-28 19:42:51,2026.5,3.064,1
2023-12-08 19:34:25,0.3,28.974,1
2023-12-08 19:34:25,1,28.978,1
2023-12-08 19:34:25,3.8,28.977,1
2023-12-08 19:34:25,5,28.993,1
2023-12-08 19:34:25,6.9,28.988,1
2023-12-08 19:34:25,8.7,28.997,1
2023-12-08 19:34:25,25.7,28.994,1
2023-12-08 19:34:25,45.3,28.955,1
2023-12-08 19:34:25,55.4,27.99,1
2023-12-08 19:34:25,84.9,22.927,1
2023-12-08 19:34:25,105.1,21.012,1
2023-12-08 19:34:25,125.5,20.379,1
2023-12-08 19:34:25,145.5,19.355,1
2023-12-08 19:34:25,165.4,18.087,1
2023-12-08 19:34:25,174.9,17.65,1
2023-12-08 19:34:25,195.5,16.867,1
2023-12-08 19:34:25,262.7,14.755,1
2023-12-08 19:34:25,313.1,13.911,1
2023-12-08 19:34:25,387.6,13.056,1
2023-12-08 19:34:25,437.8,12.79,1
2023-12-08 19:34:25,488.8,12.381,1
2023-12-08 19:34:25,538,12.038,1
2023-12-08 19:34:25,588.2,11.923,1
2023-12-08 19:34:25,638.1,11.473,1
2023-12-08 19:34:25,687.8,10.891,1
2023-12-08 19:34:25,738.2,10.598,1
2023-12-08 19:34:25,787.8,10.13,1
2023-12-08 19:34:25,837.9,9.765,1
2023-12-08 19:34:25,863.2,9.505,1
2023-12-08 19:34:25,912.8,8.965,1
2023-12-08 19:34:25,962.8,8.508,1
2023-12-08 19:34:25,1037.9,8.061,1
2023-12-08 19:34:25,1087.4,7.742,1
2023-12-08 19:34:25,1137.8,7.334,1
2023-12-08 19:34:25,1213.2,6.995,1
2023-12-08 19:34:25,1262.7,6.766,1
2023-12-08 19:34:25,1312.7,6.461,1
2023-12-08 19:34:25,1362.6,6.135,1
2023-12-08 19:34:25,1412.9,5.83,1
2023-12-08 19:34:25,1463,5.541,1
2023-12-08 19:34:25,1488.2,5.418,1
